,Y,X
761,-96,840.1110000000001
762,-96,840.1110000000001
763,-103,570.019
764,-103,570.019
765,-109,906.327
766,-84,222.89999999999998
767,-84,222.89999999999998
768,-93,309.16700000000003
769,-93,309.16700000000003
770,-102,562.427
771,-102,562.427
772,-91,276.512
773,-91,276.512
774,-96,848.796
775,-96,848.796
776,-84,387.998
777,-84,387.998
778,-89,356.58
779,-101,554.756
780,-101,554.756
781,-98,708.1429999999999
782,-98,708.1429999999999
783,-112,261.16499999999996
784,-112,261.16499999999996
785,-101,526.396
786,-101,526.396
787,-96,826.9570000000001
788,-96,826.9570000000001
789,-91,409.94000000000005
790,-91,409.94000000000005
791,-109,399.01300000000003
792,-109,399.01300000000003
793,-105,790.892
794,-103,457.43899999999996
795,-103,457.43899999999996
796,-107,756.2339999999999
797,-107,756.2339999999999
798,-87,708.7860000000001
799,-87,708.7860000000001
800,-95,689.414
801,-95,689.414
802,-76,116.37100000000001
803,-76,116.37100000000001
804,-108,742.908
805,-87,244.60000000000002
806,-87,244.60000000000002
807,-91,257.613
808,-96,885.4459999999999
809,-78,133.887
810,-78,133.887
811,-97,829.553
812,-97,829.553
813,-108,558.6560000000001
814,-108,558.6560000000001
815,-86,222.64700000000002
816,-86,222.64700000000002
817,-97,303.819
818,-97,303.819
819,-97,558.2
820,-97,558.2
821,-94,268.19399999999996
822,-94,268.19399999999996
823,-99,839.33
824,-99,839.33
825,-87,377.937
826,-87,377.937
827,-102,546.365
828,-102,546.365
829,-98,956.221
830,-98,956.221
831,-103,698.966
832,-108,258.393
833,-108,258.393
834,-106,709.831
835,-106,709.831
836,-102,512.839
837,-102,512.839
838,-105,396.57399999999996
839,-105,396.57399999999996
840,-102,778.165
841,-89,705.252
842,-89,705.252
843,-93,675.856
844,-93,675.856
845,-79,109.16099999999999
846,-79,109.16099999999999
847,-108,734.05
848,-89,243.304
849,-89,243.304
850,-109,589.554
851,-94,872.1560000000001
852,-99,815.8149999999999
853,-99,815.8149999999999
854,-104,544.32
855,-104,544.32
856,-109,883.853
857,-97,555.087
858,-97,555.087
859,-92,259.714
860,-100,826.65
861,-100,826.65
862,-88,364.709
863,-88,364.709
864,-82,333.141
865,-102,534.869
866,-101,686.597
867,-101,686.597
868,-73,121.49600000000001
869,-73,121.49600000000001
870,-97,295.99399999999997
871,-97,295.99399999999997
872,-107,703.441
873,-98,942.036
874,-98,942.036
875,-100,257.542
876,-100,257.542
877,-102,395.64700000000005
878,-93,663.5600000000001
879,-93,663.5600000000001
880,-83,230.067
881,-83,230.067
882,-107,802.768
883,-107,802.768
884,-107,873.236
885,-100,553.3860000000001
886,-100,553.3860000000001
887,-91,352.1
888,-91,352.1
889,-91,800.215
890,-91,800.215
891,-84,396.883
892,-84,396.883
893,-101,766.7850000000001
894,-89,430.922
895,-89,430.922
896,-105,728.6550000000001
897,-105,728.6550000000001
898,-90,703.082
899,-90,703.082
900,-78,102.953
901,-78,102.953
902,-106,726.672
903,-103,576.471
904,-103,576.471
905,-91,860.1529999999999
906,-73,110.90899999999999
